Station,Year,Date,AvgDO
DEC,2014,2014-01-01,10.581249999999999
DEC,2014,2014-01-02,10.552083333333334
DEC,2014,2014-01-03,10.476842105263158
DEC,2014,2014-01-04,10.421875
DEC,2014,2014-01-05,10.411458333333334
DEC,2014,2014-01-06,10.409375
DEC,2014,2014-01-07,10.390625
DEC,2014,2014-01-08,10.447916666666666
DEC,2014,2014-01-09,10.530208333333333
DEC,2014,2014-01-10,10.6
DEC,2014,2014-01-11,10.603125
DEC,2014,2014-01-12,10.683333333333334
DEC,2014,2014-01-13,10.875
DEC,2014,2014-01-14,10.685416666666667
DEC,2014,2014-01-15,10.555208333333333
DEC,2014,2014-01-16,10.503125
DEC,2014,2014-01-17,10.464583333333334
DEC,2014,2014-01-18,10.416666666666668
DEC,2014,2014-01-19,10.392708333333333
DEC,2014,2014-01-20,10.356250000000001
DEC,2014,2014-01-21,10.31875
DEC,2014,2014-01-22,10.304166666666667
DEC,2014,2014-01-23,10.278125000000001
DEC,2014,2014-01-24,10.233333333333333
DEC,2014,2014-01-25,10.220833333333333
DEC,2014,2014-01-26,10.216666666666667
DEC,2014,2014-01-27,10.211458333333333
DEC,2014,2014-01-28,10.223958333333332
DEC,2014,2014-01-29,10.253125
DEC,2014,2014-01-30,10.220430107526882
DEC,2014,2014-01-31,10.223958333333332
DEC,2014,2014-02-01,10.215625
DEC,2014,2014-02-02,10.195833333333333
DEC,2014,2014-02-03,10.18125
DEC,2014,2014-02-04,10.165625
DEC,2014,2014-02-05,10.148958333333333
DEC,2014,2014-02-06,10.223958333333334
DEC,2014,2014-02-07,10.25
DEC,2014,2014-02-08,10.39375
DEC,2014,2014-02-09,10.338541666666666
DEC,2014,2014-02-10,10.201041666666667
DEC,2014,2014-02-11,9.983333333333333
DEC,2014,2014-02-12,9.534375
DEC,2014,2014-02-13,9.026041666666666
DEC,2014,2014-02-14,8.764583333333333
DEC,2014,2014-02-15,8.612499999999999
DEC,2014,2014-02-16,8.419791666666667
DEC,2014,2014-02-17,8.25625
DEC,2014,2014-02-18,8.10625
DEC,2014,2014-02-19,8.108333333333333
DEC,2014,2014-02-20,8.057291666666666
DEC,2014,2014-02-21,8.077083333333333
DEC,2014,2014-02-22,8.15625
DEC,2014,2014-02-23,8.237499999999999
DEC,2014,2014-02-24,8.209375
DEC,2014,2014-02-25,8.2875
DEC,2014,2014-02-26,8.528421052631579
DEC,2014,2014-02-27,8.767021276595745
DEC,2014,2014-02-28,8.858510638297872
DEC,2014,2014-03-01,8.885416666666666
DEC,2014,2014-03-02,8.74421052631579
DEC,2014,2014-03-03,8.469791666666667
DEC,2014,2014-03-04,8.338541666666668
DEC,2014,2014-03-05,8.184375
DEC,2014,2014-03-06,8.073958333333334
DEC,2014,2014-03-07,8.213541666666666
DEC,2014,2014-03-08,8.383333333333333
DEC,2014,2014-03-09,8.318750000000001
DEC,2014,2014-03-10,8.25
DEC,2014,2014-03-11,8.5625
DEC,2014,2014-03-12,8.945833333333333
DEC,2014,2014-03-13,8.916279069767443
DEC,2014,2014-03-14,8.79375
DEC,2014,2014-03-15,8.680208333333333
DEC,2014,2014-03-16,8.5625
DEC,2014,2014-03-17,8.7125
DEC,2014,2014-03-18,8.901041666666666
DEC,2014,2014-03-19,8.86875
DEC,2014,2014-03-20,8.75625
DEC,2014,2014-03-21,8.75
DEC,2014,2014-03-22,8.757291666666667
DEC,2014,2014-03-23,8.707291666666666
DEC,2014,2014-03-24,8.601041666666667
DEC,2014,2014-03-25,8.565625
DEC,2014,2014-03-26,8.594791666666667
DEC,2014,2014-03-27,8.504166666666666
DEC,2014,2014-03-28,8.403125
DEC,2014,2014-03-29,8.4875
DEC,2014,2014-03-30,8.535416666666666
DEC,2014,2014-03-31,8.563541666666667
DEC,2014,2014-04-01,8.5875
DEC,2014,2014-04-02,8.557291666666666
DEC,2014,2014-04-03,8.617708333333333
DEC,2014,2014-04-04,8.767708333333333
DEC,2014,2014-04-05,8.842708333333334
DEC,2014,2014-04-06,8.941666666666666
DEC,2014,2014-04-07,8.973958333333334
DEC,2014,2014-04-08,8.965625
DEC,2014,2014-04-09,8.973958333333334
DEC,2014,2014-04-10,8.93125
DEC,2014,2014-04-11,8.859375
DEC,2014,2014-04-12,9.027083333333334
DEC,2014,2014-04-13,9.007291666666667
DEC,2014,2014-04-14,8.882291666666667
DEC,2014,2014-04-15,8.768292682926829
DEC,2014,2014-04-16,8.5375
DEC,2014,2014-04-17,8.501086956521739
DEC,2014,2014-04-18,8.469791666666667
DEC,2014,2014-04-19,8.606250000000001
DEC,2014,2014-04-20,8.55
DEC,2014,2014-04-21,8.645833333333334
DEC,2014,2014-04-22,8.823958333333334
DEC,2014,2014-04-23,8.79375
DEC,2014,2014-04-24,8.701086956521738
DEC,2014,2014-04-25,8.577083333333333
DEC,2014,2014-04-26,8.545833333333333
DEC,2014,2014-04-27,8.507291666666667
DEC,2014,2014-04-28,8.464210526315789
DEC,2014,2014-04-29,8.373958333333333
DEC,2014,2014-04-30,8.305208333333333
DEC,2014,2014-05-01,8.216666666666667
DEC,2014,2014-05-02,8.190625
DEC,2014,2014-05-03,8.409374999999999
DEC,2014,2014-05-04,8.617708333333333
DEC,2014,2014-05-05,8.704166666666667
DEC,2014,2014-05-06,8.748958333333334
DEC,2014,2014-05-07,8.826041666666667
DEC,2014,2014-05-08,8.838541666666666
DEC,2014,2014-05-09,8.889583333333334
DEC,2014,2014-05-10,8.916666666666666
DEC,2014,2014-05-11,8.898958333333333
DEC,2014,2014-05-12,8.808333333333334
DEC,2014,2014-05-13,8.690625
DEC,2014,2014-05-14,8.571875
DEC,2014,2014-05-15,8.448958333333334
DEC,2014,2014-05-16,8.442708333333334
DEC,2014,2014-05-17,8.492708333333333
DEC,2014,2014-05-18,8.561458333333333
DEC,2014,2014-05-19,8.634375
DEC,2014,2014-05-20,8.621875
DEC,2014,2014-05-21,8.542708333333334
DEC,2014,2014-05-22,8.487499999999999
DEC,2014,2014-05-23,8.544791666666667
DEC,2014,2014-05-24,8.594791666666666
DEC,2014,2014-05-25,8.577083333333333
DEC,2014,2014-05-26,8.525
DEC,2014,2014-05-27,8.45185185185185
DEC,2014,2014-06-19,8.105357142857143
DEC,2014,2014-06-20,8.092708333333333
DEC,2014,2014-06-21,8.13125
DEC,2014,2014-06-22,8.128125
DEC,2014,2014-06-23,8.107291666666667
DEC,2014,2014-06-24,8.147916666666667
DEC,2014,2014-06-25,8.233333333333334
DEC,2014,2014-06-26,8.260416666666668
DEC,2014,2014-06-27,8.328395061728395
DEC,2014,2014-06-28,8.280208333333334
DEC,2014,2014-06-29,8.201041666666667
DEC,2014,2014-06-30,8.1
DEC,2014,2014-07-01,8.146875
DEC,2014,2014-07-02,8.159374999999999
DEC,2014,2014-07-03,8.11875
DEC,2014,2014-07-04,8.097916666666666
DEC,2014,2014-07-05,8.105208333333334
DEC,2014,2014-07-06,8.083333333333334
DEC,2014,2014-07-07,8.088541666666666
DEC,2014,2014-07-08,8.054347826086957
DEC,2014,2014-07-09,8.114583333333332
DEC,2014,2014-07-10,8.192708333333334
DEC,2014,2014-07-11,8.246875000000001
DEC,2014,2014-07-12,8.307291666666668
DEC,2014,2014-07-13,8.305208333333333
DEC,2014,2014-07-14,8.183333333333334
DEC,2014,2014-07-15,8.159374999999999
DEC,2014,2014-07-16,8.247826086956522
DEC,2014,2014-07-17,8.291666666666666
DEC,2014,2014-07-18,8.316666666666666
DEC,2014,2014-07-19,8.3375
DEC,2014,2014-07-20,8.34375
DEC,2014,2014-07-21,8.367708333333333
DEC,2014,2014-07-22,8.3625
DEC,2014,2014-07-23,8.31875
DEC,2014,2014-07-24,8.240625
DEC,2014,2014-07-25,8.116666666666667
DEC,2014,2014-07-26,7.976041666666666
DEC,2014,2014-07-27,7.901041666666667
DEC,2014,2014-07-28,7.936458333333333
DEC,2014,2014-07-29,7.941666666666666
DEC,2014,2014-07-30,7.938541666666667
DEC,2014,2014-07-31,7.982291666666667
DEC,2014,2014-08-01,8
DEC,2014,2014-08-02,8.065625
DEC,2014,2014-08-03,8.108333333333333
DEC,2014,2014-08-04,8.146875
DEC,2014,2014-08-05,8.144791666666666
DEC,2014,2014-08-06,7.995833333333333
DEC,2014,2014-08-07,7.971875
DEC,2014,2014-08-08,7.973913043478261
DEC,2014,2014-08-09,7.927083333333333
DEC,2014,2014-08-10,7.967708333333333
DEC,2014,2014-08-11,8.068817204301075
DEC,2014,2014-08-12,8.227956989247312
DEC,2014,2014-08-13,8.283333333333333
DEC,2014,2014-08-14,8.253125
DEC,2014,2014-08-15,8.220833333333333
DEC,2014,2014-08-16,8.230208333333334
DEC,2014,2014-08-17,8.295833333333334
DEC,2014,2014-08-18,8.334375
DEC,2014,2014-08-19,8.395833333333334
TOE,2014,2014-08-19,7.822727272727273
DEC,2014,2014-08-20,8.44375
TOE,2014,2014-08-20,7.888541666666667
DEC,2014,2014-08-21,8.445833333333333
TOE,2014,2014-08-21,7.811458333333333
DEC,2014,2014-08-22,8.391666666666667
TOE,2014,2014-08-22,7.747916666666667
DEC,2014,2014-08-23,8.380208333333334
TOE,2014,2014-08-23,7.677083333333333
DEC,2014,2014-08-24,8.430208333333333
TOE,2014,2014-08-24,7.695833333333333
DEC,2014,2014-08-25,8.488541666666666
TOE,2014,2014-08-25,7.848958333333333
DEC,2014,2014-08-26,8.483870967741936
TOE,2014,2014-08-26,7.808333333333334
DEC,2014,2014-08-27,8.432291666666666
TOE,2014,2014-08-27,7.732291666666667
DEC,2014,2014-08-28,8.391666666666667
TOE,2014,2014-08-28,7.655208333333333
DEC,2014,2014-08-29,8.388541666666667
TOE,2014,2014-08-29,7.571875
DEC,2014,2014-08-30,8.379166666666666
TOE,2014,2014-08-30,7.458333333333333
DEC,2014,2014-08-31,8.380208333333334
TOE,2014,2014-08-31,7.4125
DEC,2014,2014-09-01,8.321875
TOE,2014,2014-09-01,7.286458333333333
DEC,2014,2014-09-02,8.298958333333333
TOE,2014,2014-09-02,7.194791666666666
DEC,2014,2014-09-03,8.33695652173913
TOE,2014,2014-09-03,7.316666666666666
DEC,2014,2014-09-04,8.329166666666667
TOE,2014,2014-09-04,7.2875
DEC,2014,2014-09-05,8.373958333333334
TOE,2014,2014-09-05,7.427083333333333
DEC,2014,2014-09-06,8.398958333333333
TOE,2014,2014-09-06,7.472916666666666
DEC,2014,2014-09-07,8.419791666666667
TOE,2014,2014-09-07,7.577083333333333
DEC,2014,2014-09-08,8.464583333333334
TOE,2014,2014-09-08,7.752083333333333
DEC,2014,2014-09-09,8.460416666666667
TOE,2014,2014-09-09,7.89375
DEC,2014,2014-09-10,8.380208333333334
TOE,2014,2014-09-10,7.833333333333333
DEC,2014,2014-09-11,8.272916666666667
TOE,2014,2014-09-11,7.715625
DEC,2014,2014-09-12,8.194791666666667
TOE,2014,2014-09-12,7.577083333333333
DEC,2014,2014-09-13,8.147916666666667
TOE,2014,2014-09-13,7.598958333333333
DEC,2014,2014-09-14,8.229166666666666
TOE,2014,2014-09-14,7.7
DEC,2014,2014-09-15,8.252083333333333
TOE,2014,2014-09-15,7.7437499999999995
DEC,2014,2014-09-16,8.356842105263159
TOE,2014,2014-09-16,7.673958333333333
DEC,2014,2014-09-17,8.316666666666666
TOE,2014,2014-09-17,7.219791666666667
DEC,2014,2014-09-18,8.267708333333333
TOE,2014,2014-09-18,7.318947368421052
DEC,2014,2014-09-19,8.228125
TOE,2014,2014-09-19,7.189583333333333
DEC,2014,2014-09-20,8.282291666666667
TOE,2014,2014-09-20,7.167708333333334
DEC,2014,2014-09-21,8.441666666666666
TOE,2014,2014-09-21,7.336458333333334
DEC,2014,2014-09-22,8.498958333333333
TOE,2014,2014-09-22,7.264583333333333
DEC,2014,2014-09-23,8.497916666666667
TOE,2014,2014-09-23,7.304166666666666
DEC,2014,2014-09-24,8.445833333333333
TOE,2014,2014-09-24,7.434375
DEC,2014,2014-09-25,8.389583333333334
TOE,2014,2014-09-25,7.364583333333333
DEC,2014,2014-09-26,8.302173913043479
TOE,2014,2014-09-26,7.213541666666667
DEC,2014,2014-09-27,8.276041666666666
TOE,2014,2014-09-27,7.155208333333333
DEC,2014,2014-09-28,8.205208333333333
