YearAdj,Season,SVIndex,YearType,Drought,Outflow,Export,X2
1975,Winter,9.35,Wet,W,33510.72222222222,4943.344444444445,65.2884526815705
1975,Spring,9.35,Wet,W,43479.413043478264,5984.565217391304,58.78886645370836
1975,Summer,9.35,Wet,W,14298.597826086956,6249.195652173913,69.52697363034589
1975,Fall,9.35,Wet,W,16089.461538461539,7786.714285714285,69.33476488588693
1976,Winter,5.29,Critical,D,12349.912087912087,7980.978021978022,74.97743216645557
1976,Spring,5.29,Critical,D,6797.434782608696,6406.195652173913,81.35130022246497
1976,Summer,5.29,Critical,D,4121.858695652174,5179.402173913043,86.5748607866162
1976,Fall,5.29,Critical,D,3612.6153846153848,5747.2967032967035,89.54098523360611
1977,Winter,3.11,Critical,D,4471.522222222222,4748.144444444444,93.13275846659327
1977,Spring,3.11,Critical,D,3301.3695652173915,2799.4347826086955,93.53934705455238
1977,Summer,3.11,Critical,D,2607.4021739130435,1185.2717391304348,95.63809466536374
1977,Fall,3.11,Critical,D,2912.5714285714284,1780.043956043956,95.98824559506707
1978,Winter,8.65,Above Normal,N,43210.822222222225,8611.633333333333,73.36639195483625
1978,Spring,8.65,Above Normal,N,62530.5,4139.630434782609,56.42530216115877
1978,Summer,8.65,Above Normal,N,6174.521739130435,8173.847826086957,79.88124843674002
1978,Fall,8.65,Above Normal,N,10736.043956043955,6086.956043956044,77.50728727967588
1979,Winter,6.67,Below Normal,N,27954.633333333335,4411.988888888889,71.55073475962634
1979,Spring,6.67,Below Normal,N,22083.75,5487.217391304348,66.16327877375852
1979,Summer,6.67,Below Normal,N,4638.304347826087,8789.782608695652,81.00082761152883
1979,Fall,6.67,Below Normal,N,8308.472527472528,7653.516483516483,82.01332808264128
1980,Winter,9.04,Above Normal,N,85524.15384615384,6175.10989010989,63.32962374035
1980,Spring,9.04,Above Normal,N,49755.07608695652,4828.065217391304,59.21621360580786
1980,Summer,9.04,Above Normal,N,9940.25,7474.847826086957,72.86180920891451
1980,Fall,9.04,Above Normal,N,7921.868131868132,6990.516483516483,77.70963540507987
1981,Winter,6.21,Dry,N,17199.7,7429.933333333333,73.37739009077012
1981,Spring,6.21,Dry,N,15802.5,5777.29347826087,72.5473356698509
1981,Summer,6.21,Dry,N,4347.239130434783,6827.684782608696,84.32034009559503
1981,Fall,6.21,Dry,N,15192.538461538461,5817.692307692308,85.2646343641148
1982,Winter,12.76,Wet,W,92159.43333333333,6514.344444444445,55.94804233241485
1982,Spring,12.76,Wet,W,92823.39130434782,8696.5,52.862799363157514
1982,Summer,12.76,Wet,W,19296.119565217392,5483.858695652174,68.31862792882463
1982,Fall,12.76,Wet,W,29240.24175824176,5568.956043956044,65.85443439841787
1983,Winter,15.29,Wet,W,116221.45555555556,9562.055555555555,56.33188748591294
1983,Spring,15.29,Wet,W,161594.9347826087,4201.369565217391,51.48509320042967
1983,Summer,15.29,Wet,W,46124.17391304348,5911.478260869565,59.04523431185525
1983,Fall,15.29,Wet,W,45803.54945054945,2837.5274725274726,60.715115175678484
1984,Winter,10,Wet,W,100266.16483516483,3153.6593406593406,53.718400522351295
1984,Spring,10,Wet,W,20275.771739130436,6906.728260869565,66.1121692093045
1984,Summer,10,Wet,W,8752.576086956522,8513.673913043478,76.23368485835167
1984,Fall,10,Wet,W,17088.43956043956,6384.923076923077,71.08914684576577
1985,Winter,6.47,Dry,N,20758.9,7294.422222222222,68.07803939517628
1985,Spring,6.47,Dry,N,8196.717391304348,7450.5,75.51228958193767
1985,Summer,6.47,Dry,N,4054.3478260869565,8817.826086956522,83.78334602896489
1985,Fall,6.47,Dry,N,4464.406593406594,7931.549450549451,89.26358271782334
1986,Winter,9.96,Wet,N,72393.37777777777,8409.733333333334,75.99852800365042
1986,Spring,9.96,Wet,N,77599.54347826086,4763.336956521739,63.56720420278641
1986,Summer,9.96,Wet,N,7167.858695652174,8357.565217391304,78.03148022990754
1986,Fall,9.96,Wet,N,9698.78021978022,8321.076923076924,77.53040566473027
1987,Winter,5.86,Dry,D,12066.622222222222,6783.788888888889,78.74667561430905
1987,Spring,5.86,Dry,D,11379.978260869566,6028.565217391304,75.3513447057953
1987,Summer,5.86,Dry,D,3291.7391304347825,8107.880434782609,87.23312575039641
1987,Fall,5.86,Dry,D,3268.6923076923076,6829.417582417583,91.56045076882727
1988,Winter,4.65,Critical,D,10862.956043956045,9806.725274725275,80.60083790671729
1988,Spring,4.65,Critical,D,6802.619565217391,7826.402173913043,84.62271704971634
1988,Summer,4.65,Critical,D,3039.0652173913045,7728.739130434783,89.288176551079
1988,Fall,4.65,Critical,D,3994.4835164835163,6690.153846153846,91.596747752868
1989,Winter,6.13,Dry,D,5716.4,8565.922222222222,89.63556051395786
