YearAdj,Season,SVIndex,YearType,Drought,Outflow,Export,X2,Temperature,Salinity,Secchi
1975,Winter,9.35,Wet,W,33510.72222222222,4943.344444444445,65.2884526815705,NA,NA,NA
1975,Spring,9.35,Wet,W,43479.413043478264,5984.565217391304,58.78886645370836,NA,NA,NA
1975,Summer,9.35,Wet,W,14298.597826086956,6249.195652173913,69.52697363034589,21.032055860717144,0.8308438733574828,36.164328910015186
1975,Fall,9.35,Wet,W,16089.461538461539,7786.714285714285,69.33476488588693,16.10157375447192,0.7370357942971697,44.97084252969136
1976,Winter,5.29,Critical,D,12349.912087912087,7980.978021978022,74.97743216645557,9.807291915571485,1.7981880760392253,60.63595778574273
1976,Spring,5.29,Critical,D,6797.434782608696,6406.195652173913,81.35130022246497,NA,NA,NA
1976,Summer,5.29,Critical,D,4121.858695652174,5179.402173913043,86.5748607866162,21.752214918692275,3.83002855227403,48.06787647537648
1976,Fall,5.29,Critical,D,3612.6153846153848,5747.2967032967035,89.54098523360611,18.18082463526703,3.525854092307522,63.71731806650773
1977,Winter,3.11,Critical,D,4471.522222222222,4748.144444444444,93.13275846659327,9.650440988655998,4.399890349630227,62.81946209901585
1977,Spring,3.11,Critical,D,3301.3695652173915,2799.4347826086955,93.53934705455238,NA,NA,NA
1977,Summer,3.11,Critical,D,2607.4021739130435,1185.2717391304348,95.63809466536374,22.20500745733735,6.263798894382155,60.8991994478951
1977,Fall,3.11,Critical,D,2912.5714285714284,1780.043956043956,95.98824559506707,18.01693651875384,6.267063574366088,63.32580520256883
1978,Winter,8.65,Above Normal,N,43210.822222222225,8611.633333333333,73.36639195483625,11.50741973224732,2.3932764290213693,34.63940054836606
1978,Spring,8.65,Above Normal,N,62530.5,4139.630434782609,56.42530216115877,15.488791419308662,0.39413773986691947,26.975051576775716
1978,Summer,8.65,Above Normal,N,6174.521739130435,8173.847826086957,79.88124843674002,21.77173654800864,2.7366051545693324,38.171471760279616
1978,Fall,8.65,Above Normal,N,10736.043956043955,6086.956043956044,77.50728727967588,16.916013209279566,2.0232260558584554,43.08283328191743
1979,Winter,6.67,Below Normal,N,27954.633333333335,4411.988888888889,71.55073475962634,9.517368253968254,1.450435072398409,36.28233465608466
1979,Spring,6.67,Below Normal,N,22083.75,5487.217391304348,66.16327877375852,15.47406015037594,0.873868108476105,34.777280701754385
1979,Summer,6.67,Below Normal,N,4638.304347826087,8789.782608695652,81.00082761152883,22.082985528080524,2.68890027849586,40.46939556015643
1979,Fall,6.67,Below Normal,N,8308.472527472528,7653.516483516483,82.01332808264128,17.735291005291003,3.686307530913699,52.51383597883598
1980,Winter,9.04,Above Normal,N,85524.15384615384,6175.10989010989,63.32962374035,NA,NA,NA
1980,Spring,9.04,Above Normal,N,49755.07608695652,4828.065217391304,59.21621360580786,15.403783068783069,0.5417205148511842,38.023988603988606
1980,Summer,9.04,Above Normal,N,9940.25,7474.847826086957,72.86180920891451,20.89363159430439,1.2716432872448886,41.606037108079946
1980,Fall,9.04,Above Normal,N,7921.868131868132,6990.516483516483,77.70963540507987,17.04709004475439,2.2192840655634556,50.79990227350908
1981,Winter,6.21,Dry,N,17199.7,7429.933333333333,73.37739009077012,10.203723043240284,2.354748452490426,42.78039408866995
1981,Spring,6.21,Dry,N,15802.5,5777.29347826087,72.5473356698509,16.98509361009361,1.8680992786262671,41.02567647751858
1981,Summer,6.21,Dry,N,4347.239130434783,6827.684782608696,84.32034009559503,22.239599914444167,3.5752299276078228,49.57707693145908
1981,Fall,6.21,Dry,N,15192.538461538461,5817.692307692308,85.2646343641148,17.981161793814508,4.248219924292329,52.66815903908009
1982,Winter,12.76,Wet,W,92159.43333333333,6514.344444444445,55.94804233241485,9.428501268846096,0.68435268603169,37.08992884510126
1982,Spring,12.76,Wet,W,92823.39130434782,8696.5,52.862799363157514,14.427777777777777,0.30155020860176623,36.54099567099567
1982,Summer,12.76,Wet,W,19296.119565217392,5483.858695652174,68.31862792882463,21.021216412741587,0.7213852752645236,39.93428108727022
1982,Fall,12.76,Wet,W,29240.24175824176,5568.956043956044,65.85443439841787,16.348704348406027,0.613140574124669,46.54164816165701
1983,Winter,15.29,Wet,W,116221.45555555556,9562.055555555555,56.33188748591294,9.346931623931624,0.2224538108106083,27.80368945868946
1983,Spring,15.29,Wet,W,161594.9347826087,4201.369565217391,51.48509320042967,NA,0.15576074371980567,31.923492063492063
1983,Summer,15.29,Wet,W,46124.17391304348,5911.478260869565,59.04523431185525,21.176161097310523,0.20689919323823794,39.77932972412857
1983,Fall,15.29,Wet,W,45803.54945054945,2837.5274725274726,60.715115175678484,17.901222222222223,0.2925532930168007,56.281379310344825
1984,Winter,10,Wet,W,100266.16483516483,3153.6593406593406,53.718400522351295,9.850517241379311,0.37777052464547023,41.746600985221676
