YearAdj,Season,Date,InflowSacR,InflowYolo,InflowEast,InflowTotal,Outflow,Export,X2,TotalUSGSOutflow,CacheFlow
1975,Winter,1974-12-01,29100,18,4746,33864,28288,3576,67.4648954061399,NA,NA
1975,Winter,1974-12-02,29200,22,4891,34113,29564,2549,66.8064473169089,NA,NA
1975,Winter,1974-12-03,29800,45,5133,34978,42109,1600,65.9691199688463,NA,NA
1975,Winter,1974-12-04,30800,79,5469,36348,43658,1805,67.7696410205901,NA,NA
1975,Winter,1974-12-05,34400,255,5659,40314,48172,1207,65.9173867944898,NA,NA
1975,Winter,1974-12-06,37900,496,5637,44033,51882,1216,59.4243819333667,NA,NA
1975,Winter,1974-12-07,36000,656,5833,42489,49211,2293,57.5777828478879,NA,NA
1975,Winter,1974-12-08,33400,502,5864,39766,34477,3573,58.1778028218183,NA,NA
1975,Winter,1974-12-09,31700,273,5808,37781,32969,2662,59.0051389322938,NA,NA
1975,Winter,1974-12-10,30700,195,5709,36604,31174,3230,60.9146975182007,NA,NA
1975,Winter,1974-12-11,28900,145,5651,34696,30556,1940,62.6620736128599,NA,NA
1975,Winter,1974-12-12,26600,111,5616,32327,30064,63,62.2633612830585,NA,NA
1975,Winter,1974-12-13,25300,85,5592,30977,25930,3157,62.5823231606697,NA,NA
1975,Winter,1974-12-14,24700,67,5586,30353,25143,3320,60.8238376274559,NA,NA
1975,Winter,1974-12-15,23700,52,5607,29359,22948,4521,61.2074717515321,NA,NA
1975,Winter,1974-12-16,23300,43,5599,28942,25331,1721,60.3299105701184,NA,NA
1975,Winter,1974-12-17,22700,36,5482,28218,22196,4132,59.959051092839,NA,NA
1975,Winter,1974-12-18,22200,29,5101,27330,22015,3165,60.7848607071614,NA,NA
1975,Winter,1974-12-19,21900,28,4880,26808,22130,2528,61.3921580930173,NA,NA
1975,Winter,1974-12-20,21200,27,4758,25985,21502,2333,62.0598071908663,NA,NA
1975,Winter,1974-12-21,20400,25,4683,25108,19315,3693,64.2969590397003,NA,NA
1975,Winter,1974-12-22,20000,26,4431,24457,18085,4272,66.8520483039368,NA,NA
1975,Winter,1974-12-23,19800,25,3874,23699,17529,4120,67.7204063695073,NA,NA
1975,Winter,1974-12-24,19400,21,3618,23039,17889,3100,67.8448551348937,NA,NA
1975,Winter,1974-12-25,19200,20,3822,23042,17494,3548,71.9914795481798,NA,NA
1975,Winter,1974-12-26,19100,20,3984,23104,17581,3523,73.6903508010944,NA,NA
1975,Winter,1974-12-27,18900,28,3635,22563,17265,3348,71.3369825310292,NA,NA
1975,Winter,1974-12-28,20500,78,4328,24906,22194,3243,76.2672514823271,NA,NA
1975,Winter,1974-12-29,22800,155,4510,27465,24925,3121,75.1818152212926,NA,NA
1975,Winter,1974-12-30,26400,185,4237,30822,28490,2963,72.8701768381404,NA,NA
1975,Winter,1974-12-31,25000,190,3680,28870,28463,1708,69.7768727245455,NA,NA
1975,Winter,1975-01-01,22400,163,3837,26400,25737,2064,68.2620947751845,NA,NA
1975,Winter,1975-01-02,20700,126,3729,24555,21258,2267,67.5247039063458,NA,NA
1975,Winter,1975-01-03,19500,86,3056,22642,19031,2631,67.0176888853233,NA,NA
1975,Winter,1975-01-04,19000,46,3864,22910,18168,3874,66.2922477328366,NA,NA
1975,Winter,1975-01-05,18900,28,4085,23013,16759,4816,65.7375575480047,NA,NA
1975,Winter,1975-01-06,18700,25,3756,22481,18164,4418,66.3475190305732,NA,NA
1975,Winter,1975-01-07,19400,27,3294,22721,18829,4725,68.643004927349,NA,NA
