STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DTO,D,23,OUTFLOW,,20201001,"4,647",,CFS
DTO,D,23,OUTFLOW,,20201002,"3,932",,CFS
DTO,D,23,OUTFLOW,,20201003,"4,077",,CFS
DTO,D,23,OUTFLOW,,20201004,"3,684",,CFS
DTO,D,23,OUTFLOW,,20201005,"3,446",,CFS
DTO,D,23,OUTFLOW,,20201006,"3,883",,CFS
DTO,D,23,OUTFLOW,,20201007,"4,427",,CFS
DTO,D,23,OUTFLOW,,20201008,"3,690",,CFS
DTO,D,23,OUTFLOW,,20201009,"4,300",,CFS
DTO,D,23,OUTFLOW,,20201010,"4,319",,CFS
DTO,D,23,OUTFLOW,,20201011,"3,913",,CFS
DTO,D,23,OUTFLOW,,20201012,"4,517",,CFS
DTO,D,23,OUTFLOW,,20201013,"3,568",,CFS
DTO,D,23,OUTFLOW,,20201014,"3,829",,CFS
DTO,D,23,OUTFLOW,,20201015,"4,240",,CFS
DTO,D,23,OUTFLOW,,20201016,"3,944",,CFS
DTO,D,23,OUTFLOW,,20201017,"3,809",,CFS
DTO,D,23,OUTFLOW,,20201018,"3,931",,CFS
DTO,D,23,OUTFLOW,,20201019,"4,539",,CFS
DTO,D,23,OUTFLOW,,20201020,"4,774",,CFS
DTO,D,23,OUTFLOW,,20201021,"4,941",,CFS
DTO,D,23,OUTFLOW,,20201022,"4,406",,CFS
DTO,D,23,OUTFLOW,,20201023,"4,401",,CFS
DTO,D,23,OUTFLOW,,20201024,"4,156",,CFS
DTO,D,23,OUTFLOW,,20201025,"4,373",,CFS
DTO,D,23,OUTFLOW,,20201026,"6,418",,CFS
DTO,D,23,OUTFLOW,,20201027,"6,015",,CFS
DTO,D,23,OUTFLOW,,20201028,"4,586",,CFS
DTO,D,23,OUTFLOW,,20201029,"4,696",,CFS
DTO,D,23,OUTFLOW,,20201030,"5,282",,CFS
DTO,D,23,OUTFLOW,,20201031,"4,950",,CFS
DTO,D,23,OUTFLOW,,20201101,"5,842",,CFS
DTO,D,23,OUTFLOW,,20201102,"6,572",,CFS
DTO,D,23,OUTFLOW,,20201103,"5,761",,CFS
DTO,D,23,OUTFLOW,,20201104,"5,467",,CFS
DTO,D,23,OUTFLOW,,20201105,"5,214",,CFS
DTO,D,23,OUTFLOW,,20201106,"4,930",,CFS
DTO,D,23,OUTFLOW,,20201107,"4,662",,CFS
DTO,D,23,OUTFLOW,,20201108,"6,060",,CFS
DTO,D,23,OUTFLOW,,20201109,"6,563",,CFS
DTO,D,23,OUTFLOW,,20201110,"6,170",,CFS
DTO,D,23,OUTFLOW,,20201111,"4,496",,CFS
DTO,D,23,OUTFLOW,,20201112,"4,702",,CFS
DTO,D,23,OUTFLOW,,20201113,"3,903",,CFS
DTO,D,23,OUTFLOW,,20201114,"4,585",,CFS
DTO,D,23,OUTFLOW,,20201115,"4,982",,CFS
DTO,D,23,OUTFLOW,,20201116,"4,912",,CFS
DTO,D,23,OUTFLOW,,20201117,"4,476",,CFS
DTO,D,23,OUTFLOW,,20201118,"4,390",,CFS
DTO,D,23,OUTFLOW,,20201119,"5,471",,CFS
DTO,D,23,OUTFLOW,,20201120,"6,127",,CFS
DTO,D,23,OUTFLOW,,20201121,"5,689",,CFS
DTO,D,23,OUTFLOW,,20201122,"5,277",,CFS
DTO,D,23,OUTFLOW,,20201123,"4,726",,CFS
DTO,D,23,OUTFLOW,,20201124,"4,602",,CFS
DTO,D,23,OUTFLOW,,20201125,"4,407",,CFS
DTO,D,23,OUTFLOW,,20201126,"4,461",,CFS
DTO,D,23,OUTFLOW,,20201127,"4,631",,CFS
DTO,D,23,OUTFLOW,,20201128,"4,198",,CFS
DTO,D,23,OUTFLOW,,20201129,"4,347",,CFS
DTO,D,23,OUTFLOW,,20201130,"3,988",,CFS
DTO,D,23,OUTFLOW,,20201201,"4,372",,CFS
DTO,D,23,OUTFLOW,,20201202,"4,596",,CFS
DTO,D,23,OUTFLOW,,20201203,"4,420",,CFS
DTO,D,23,OUTFLOW,,20201204,"4,885",,CFS
DTO,D,23,OUTFLOW,,20201205,"4,802",,CFS
DTO,D,23,OUTFLOW,,20201206,"4,898",,CFS
DTO,D,23,OUTFLOW,,20201207,"5,297",,CFS
DTO,D,23,OUTFLOW,,20201208,"5,547",,CFS
DTO,D,23,OUTFLOW,,20201209,"5,153",,CFS
DTO,D,23,OUTFLOW,,20201210,"5,271",,CFS
DTO,D,23,OUTFLOW,,20201211,"5,041",,CFS
DTO,D,23,OUTFLOW,,20201212,"7,017",,CFS
DTO,D,23,OUTFLOW,,20201213,"7,615",,CFS
DTO,D,23,OUTFLOW,,20201214,"12,733",,CFS
DTO,D,23,OUTFLOW,,20201215,"13,776",,CFS
DTO,D,23,OUTFLOW,,20201216,"14,254",,CFS
DTO,D,23,OUTFLOW,,20201217,"12,158",,CFS
DTO,D,23,OUTFLOW,,20201218,"13,220",,CFS
DTO,D,23,OUTFLOW,,20201219,"9,155",,CFS
DTO,D,23,OUTFLOW,,20201220,"9,269",,CFS
DTO,D,23,OUTFLOW,,20201221,"8,446",,CFS
DTO,D,23,OUTFLOW,,20201222,"7,853",,CFS
DTO,D,23,OUTFLOW,,20201223,"5,158",,CFS
DTO,D,23,OUTFLOW,,20201224,"4,684",,CFS
DTO,D,23,OUTFLOW,,20201225,"4,181",,CFS
DTO,D,23,OUTFLOW,,20201226,"3,506",,CFS
