StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
DTO,D,23,OUTFLOW,2020-10-01T07:00:00Z,2020-10-01T07:00:00Z,4647,,CFS
DTO,D,23,OUTFLOW,2020-10-02T07:00:00Z,2020-10-02T07:00:00Z,3932,,CFS
DTO,D,23,OUTFLOW,2020-10-03T07:00:00Z,2020-10-03T07:00:00Z,4077,,CFS
DTO,D,23,OUTFLOW,2020-10-04T07:00:00Z,2020-10-04T07:00:00Z,3684,,CFS
DTO,D,23,OUTFLOW,2020-10-05T07:00:00Z,2020-10-05T07:00:00Z,3446,,CFS
DTO,D,23,OUTFLOW,2020-10-06T07:00:00Z,2020-10-06T07:00:00Z,3883,,CFS
DTO,D,23,OUTFLOW,2020-10-07T07:00:00Z,2020-10-07T07:00:00Z,4427,,CFS
DTO,D,23,OUTFLOW,2020-10-08T07:00:00Z,2020-10-08T07:00:00Z,3690,,CFS
DTO,D,23,OUTFLOW,2020-10-09T07:00:00Z,2020-10-09T07:00:00Z,4300,,CFS
DTO,D,23,OUTFLOW,2020-10-10T07:00:00Z,2020-10-10T07:00:00Z,4319,,CFS
DTO,D,23,OUTFLOW,2020-10-11T07:00:00Z,2020-10-11T07:00:00Z,3913,,CFS
DTO,D,23,OUTFLOW,2020-10-12T07:00:00Z,2020-10-12T07:00:00Z,4517,,CFS
DTO,D,23,OUTFLOW,2020-10-13T07:00:00Z,2020-10-13T07:00:00Z,3568,,CFS
DTO,D,23,OUTFLOW,2020-10-14T07:00:00Z,2020-10-14T07:00:00Z,3829,,CFS
DTO,D,23,OUTFLOW,2020-10-15T07:00:00Z,2020-10-15T07:00:00Z,4240,,CFS
DTO,D,23,OUTFLOW,2020-10-16T07:00:00Z,2020-10-16T07:00:00Z,3944,,CFS
DTO,D,23,OUTFLOW,2020-10-17T07:00:00Z,2020-10-17T07:00:00Z,3809,,CFS
DTO,D,23,OUTFLOW,2020-10-18T07:00:00Z,2020-10-18T07:00:00Z,3931,,CFS
DTO,D,23,OUTFLOW,2020-10-19T07:00:00Z,2020-10-19T07:00:00Z,4539,,CFS
DTO,D,23,OUTFLOW,2020-10-20T07:00:00Z,2020-10-20T07:00:00Z,4774,,CFS
DTO,D,23,OUTFLOW,2020-10-21T07:00:00Z,2020-10-21T07:00:00Z,4941,,CFS
DTO,D,23,OUTFLOW,2020-10-22T07:00:00Z,2020-10-22T07:00:00Z,4406,,CFS
DTO,D,23,OUTFLOW,2020-10-23T07:00:00Z,2020-10-23T07:00:00Z,4401,,CFS
DTO,D,23,OUTFLOW,2020-10-24T07:00:00Z,2020-10-24T07:00:00Z,4156,,CFS
DTO,D,23,OUTFLOW,2020-10-25T07:00:00Z,2020-10-25T07:00:00Z,4373,,CFS
DTO,D,23,OUTFLOW,2020-10-26T07:00:00Z,2020-10-26T07:00:00Z,6418,,CFS
DTO,D,23,OUTFLOW,2020-10-27T07:00:00Z,2020-10-27T07:00:00Z,6015,,CFS
DTO,D,23,OUTFLOW,2020-10-28T07:00:00Z,2020-10-28T07:00:00Z,4586,,CFS
DTO,D,23,OUTFLOW,2020-10-29T07:00:00Z,2020-10-29T07:00:00Z,4696,,CFS
DTO,D,23,OUTFLOW,2020-10-30T07:00:00Z,2020-10-30T07:00:00Z,5282,,CFS
DTO,D,23,OUTFLOW,2020-10-31T07:00:00Z,2020-10-31T07:00:00Z,4950,,CFS
DTO,D,23,OUTFLOW,2020-11-01T07:00:00Z,2020-11-01T07:00:00Z,5842,,CFS
DTO,D,23,OUTFLOW,2020-11-02T08:00:00Z,2020-11-02T08:00:00Z,6572,,CFS
DTO,D,23,OUTFLOW,2020-11-03T08:00:00Z,2020-11-03T08:00:00Z,5761,,CFS
DTO,D,23,OUTFLOW,2020-11-04T08:00:00Z,2020-11-04T08:00:00Z,5467,,CFS
DTO,D,23,OUTFLOW,2020-11-05T08:00:00Z,2020-11-05T08:00:00Z,5214,,CFS
DTO,D,23,OUTFLOW,2020-11-06T08:00:00Z,2020-11-06T08:00:00Z,4930,,CFS
DTO,D,23,OUTFLOW,2020-11-07T08:00:00Z,2020-11-07T08:00:00Z,4662,,CFS
DTO,D,23,OUTFLOW,2020-11-08T08:00:00Z,2020-11-08T08:00:00Z,6060,,CFS
DTO,D,23,OUTFLOW,2020-11-09T08:00:00Z,2020-11-09T08:00:00Z,6563,,CFS
DTO,D,23,OUTFLOW,2020-11-10T08:00:00Z,2020-11-10T08:00:00Z,6170,,CFS
DTO,D,23,OUTFLOW,2020-11-11T08:00:00Z,2020-11-11T08:00:00Z,4496,,CFS
DTO,D,23,OUTFLOW,2020-11-12T08:00:00Z,2020-11-12T08:00:00Z,4702,,CFS
DTO,D,23,OUTFLOW,2020-11-13T08:00:00Z,2020-11-13T08:00:00Z,3903,,CFS
DTO,D,23,OUTFLOW,2020-11-14T08:00:00Z,2020-11-14T08:00:00Z,4585,,CFS
DTO,D,23,OUTFLOW,2020-11-15T08:00:00Z,2020-11-15T08:00:00Z,4982,,CFS
DTO,D,23,OUTFLOW,2020-11-16T08:00:00Z,2020-11-16T08:00:00Z,4912,,CFS
DTO,D,23,OUTFLOW,2020-11-17T08:00:00Z,2020-11-17T08:00:00Z,4476,,CFS
DTO,D,23,OUTFLOW,2020-11-18T08:00:00Z,2020-11-18T08:00:00Z,4390,,CFS
DTO,D,23,OUTFLOW,2020-11-19T08:00:00Z,2020-11-19T08:00:00Z,5471,,CFS
DTO,D,23,OUTFLOW,2020-11-20T08:00:00Z,2020-11-20T08:00:00Z,6127,,CFS
DTO,D,23,OUTFLOW,2020-11-21T08:00:00Z,2020-11-21T08:00:00Z,5689,,CFS
DTO,D,23,OUTFLOW,2020-11-22T08:00:00Z,2020-11-22T08:00:00Z,5277,,CFS
DTO,D,23,OUTFLOW,2020-11-23T08:00:00Z,2020-11-23T08:00:00Z,4726,,CFS
DTO,D,23,OUTFLOW,2020-11-24T08:00:00Z,2020-11-24T08:00:00Z,4602,,CFS
DTO,D,23,OUTFLOW,2020-11-25T08:00:00Z,2020-11-25T08:00:00Z,4407,,CFS
DTO,D,23,OUTFLOW,2020-11-26T08:00:00Z,2020-11-26T08:00:00Z,4461,,CFS
DTO,D,23,OUTFLOW,2020-11-27T08:00:00Z,2020-11-27T08:00:00Z,4631,,CFS
DTO,D,23,OUTFLOW,2020-11-28T08:00:00Z,2020-11-28T08:00:00Z,4198,,CFS
DTO,D,23,OUTFLOW,2020-11-29T08:00:00Z,2020-11-29T08:00:00Z,4347,,CFS
DTO,D,23,OUTFLOW,2020-11-30T08:00:00Z,2020-11-30T08:00:00Z,3988,,CFS
DTO,D,23,OUTFLOW,2020-12-01T08:00:00Z,2020-12-01T08:00:00Z,4372,,CFS
DTO,D,23,OUTFLOW,2020-12-02T08:00:00Z,2020-12-02T08:00:00Z,4596,,CFS
