Date,Export,Outflow
01/01/21,2428,6060
01/02/21,2424,6110
01/03/21,2412,6049
01/04/21,2922,5411
01/05/21,2904,5366
01/06/21,3390,5779
01/07/21,3633,5391
01/08/21,4400,5096
01/09/21,4403,5341
01/10/21,3717,5469
01/11/21,3705,5139
01/12/21,2412,6274
01/13/21,2412,6226
01/14/21,2436,6354
01/15/21,2423,6435
01/16/21,2429,5959
01/17/21,2417,5977
01/18/21,2422,6358
01/19/21,2423,6630
01/20/21,3252,5498
01/21/21,3271,4588
01/22/21,3277,4666
01/23/21,3268,5037
01/24/21,3257,5345
01/25/21,3236,5612
01/26/21,3252,6209
01/27/21,3247,6019
01/28/21,3248,14009
01/29/21,3240,24983
01/30/21,3227,27073
01/31/21,3216,29328
02/01/21,3114,30373
02/02/21,3231,21687
02/03/21,3705,14269
02/04/21,3934,12736
02/05/21,3924,13283
02/06/21,3930,14483
02/07/21,3948,13622
02/08/21,3941,9668
02/09/21,5616,6504
02/10/21,3933,7736
02/11/21,4050,7589
02/12/21,4348,9638
02/13/21,4339,10405
02/14/21,4363,10229
02/15/21,4331,11127
02/16/21,6040,10184
02/17/21,5705,9099
02/18/21,6091,8493
02/19/21,6129,8103
02/20/21,6096,7300
02/21/21,5878,6686
02/22/21,4638,7417
02/23/21,3802,7349
02/24/21,3859,7268
02/25/21,3345,7572
02/26/21,3184,6685
02/27/21,2271,7322
02/28/21,1879,7872
03/01/21,1994,6932
03/02/21,1258,7256
03/03/21,1263,7134
03/04/21,818,7059
03/05/21,810,7623
03/06/21,831,6891
03/07/21,992,7485
03/08/21,1536,7256
03/09/21,1404,7155
03/10/21,1193,8436
03/11/21,1206,9222
03/12/21,631,11135
03/13/21,607,12303
03/14/21,614,12308
03/15/21,1851,10051
03/16/21,2968,7444
03/17/21,2862,7261
03/18/21,2762,7374
03/19/21,1908,11139
03/20/21,1205,12553
03/21/21,1196,12664
03/22/21,1208,13194
03/23/21,1266,13599
03/24/21,1239,11226
03/25/21,1224,9303
03/26/21,1205,8342
03/27/21,1178,8168
03/28/21,1175,7783
03/29/21,1200,7419
03/30/21,1210,7074
03/31/21,834,7098
04/01/21,552,7358
04/02/21,556,7180
04/03/21,561,7136
04/04/21,582,7286
04/05/21,1070,7136
04/06/21,1021,7154
04/07/21,1204,7392
04/08/21,1226,6951
04/09/21,1561,7258
04/10/21,1284,7106
04/11/21,1299,7288
04/12/21,1463,7208
04/13/21,1629,7158
04/14/21,1414,7261
04/15/21,1442,7354
04/16/21,1590,6956
04/17/21,1352,6821
04/18/21,1379,7484
04/19/21,1385,6672
04/20/21,1383,5931
04/21/21,1369,6236
04/22/21,1335,6284
04/23/21,1375,5763
04/24/21,1399,5931
04/25/21,1367,5715
04/26/21,1374,5768
04/27/21,1348,5649
04/28/21,1354,5468
04/29/21,1383,5721
04/30/21,1395,5320
05/01/21,1411,4167
05/02/21,1412,3776
05/03/21,1392,4033
05/04/21,1345,3970
05/05/21,1349,3533
05/06/21,1343,3235
05/07/21,1424,2960
05/08/21,1414,3683
05/09/21,1352,4013
05/10/21,1325,4073
05/11/21,1322,5675
05/12/21,1279,5611
05/13/21,1268,5551
05/14/21,1265,5756
05/15/21,998,6064
05/16/21,1025,6228
05/17/21,1285,5385
05/18/21,1262,5769
05/19/21,1258,5549
05/20/21,1277,5423
05/21/21,1292,6244
05/22/21,1321,5769
05/23/21,1325,5674
05/24/21,1307,6056
05/25/21,1277,6081
05/26/21,1286,5846
05/27/21,1283,5367
05/28/21,1321,4883
05/29/21,1336,4629
05/30/21,1332,4021
05/31/21,1332,3709
06/01/21,1310,3207
06/02/21,1268,2364
06/03/21,1271,2309
06/04/21,1308,2226
06/05/21,1353,2330
06/06/21,1351,2910
06/07/21,1327,2565
06/08/21,1309,2633
06/09/21,1281,3175
06/10/21,1167,3392
06/11/21,1066,4260
06/12/21,1078,3916
06/13/21,1062,3906
06/14/21,1044,3675
06/15/21,1070,3566
06/16/21,1077,3538
06/17/21,958,3500
06/18/21,1035,3007
06/19/21,1107,2938
06/20/21,1103,3054
06/21/21,1102,3474
06/22/21,1073,3290
06/23/21,1080,3655
06/24/21,1072,3682
06/25/21,1081,3584
06/26/21,1081,3535
06/27/21,1103,3825
06/28/21,999,3480
06/29/21,1064,3300
06/30/21,1033,2823
07/01/21,1153,2747
07/02/21,989,3329
07/03/21,1391,3043
07/04/21,1006,2720
07/05/21,963,2849
07/06/21,960,3461
07/07/21,966,3493
07/08/21,984,3873
07/09/21,1007,4140
07/10/21,1031,3798
07/11/21,1044,3651
07/12/21,1007,3461
07/13/21,943,3741
07/14/21,938,3298
07/15/21,936,3366
07/16/21,1258,3007
07/17/21,1301,3159
07/18/21,1321,3155
07/19/21,1307,3388
07/20/21,1287,3476
07/21/21,1261,3496
07/22/21,1284,3599
07/23/21,1316,3767
07/24/21,1321,3689
07/25/21,1365,3379
07/26/21,1339,3407
07/27/21,1340,3416
07/28/21,1357,3686
07/29/21,1346,2776
07/30/21,1328,3058
07/31/21,1355,3026
08/01/21,1303,3010
08/02/21,1294,3121
08/03/21,1248,3451
08/04/21,1266,3094
08/05/21,1247,2813
08/06/21,1260,3473
08/07/21,1243,3794
08/08/21,1634,3076
08/09/21,887,3747
08/10/21,1173,3649
08/11/21,1078,3511
08/12/21,1158,3276
08/13/21,1211,3368
08/14/21,1225,3463
08/15/21,1217,3454
08/16/21,1226,3393
08/17/21,1269,3582
08/18/21,1238,3797
08/19/21,1233,4020
08/20/21,1391,4026
08/21/21,1457,3854
08/22/21,1408,3686
08/23/21,1414,3885
08/24/21,1438,3560
08/25/21,1433,3693
08/26/21,1401,3608
08/27/21,1246,4112
08/28/21,1388,3718
08/29/21,1372,3486
08/30/21,1389,3604
08/31/21,1411,3574
09/01/21,2100,2696
09/02/21,2078,2952
09/03/21,2019,3263
09/04/21,2080,3261
09/05/21,2027,3423
09/06/21,2015,3556
09/07/21,2002,3731
09/08/21,1968,3367
09/09/21,1971,3307
09/10/21,2121,3066
09/11/21,2269,3771
09/12/21,2219,3966
09/13/21,2239,3873
09/14/21,2270,3802
09/15/21,2951,3048
09/16/21,2944,2735
09/17/21,3049,2963
09/18/21,3060,2777
09/19/21,3202,2577
09/20/21,3191,3072
09/21/21,3192,2803
09/22/21,3204,2777
09/23/21,3248,2347
09/24/21,3283,2285
09/25/21,3276,2410
09/26/21,3286,2239
09/27/21,3284,2058
09/28/21,3176,2064
09/29/21,2239,3448
09/30/21,1661,3951
10/01/20,4855,4647
10/02/20,5466,3948
10/03/20,5257,4092
10/04/20,5246,3695
10/05/20,5194,3454
10/06/20,4773,3889
10/07/20,3921,4430
10/08/20,4395,3690
10/09/20,3916,4300
10/10/20,3775,4320
10/11/20,3951,3914
10/12/20,3919,4516
10/13/20,4302,3567
10/14/20,3899,3829
10/15/20,3896,4240
10/16/20,3909,3943
10/17/20,3881,3809
10/18/20,3890,3931
10/19/20,3969,4539
10/20/20,3931,4775
10/21/20,3214,4940
10/22/20,3205,4407
10/23/20,3196,4402
10/24/20,3209,4157
10/25/20,3192,4372
10/26/20,2383,6418
10/27/20,3023,6015
10/28/20,3029,4586
10/29/20,2742,4696
10/30/20,2551,5283
10/31/20,3080,4950
10/01/21,2187,3764
10/02/21,2188,3238
10/03/21,2233,3232
10/04/21,2219,3331
10/05/21,2220,3520
10/06/21,2224,3236
10/07/21,2203,3972
10/08/21,2195,3771
10/09/21,2124,3721
10/10/21,2111,3736
