agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,11303500,2022-10-01,212,A
USGS,11303500,2022-10-02,218,A
USGS,11303500,2022-10-03,245,A
USGS,11303500,2022-10-04,234,A
USGS,11303500,2022-10-05,222,A
USGS,11303500,2022-10-06,213,A
USGS,11303500,2022-10-07,216,A
USGS,11303500,2022-10-08,248,A
USGS,11303500,2022-10-09,308,A
USGS,11303500,2022-10-10,305,A
USGS,11303500,2022-10-11,250,A
USGS,11303500,2022-10-12,247,A
USGS,11303500,2022-10-13,274,A
USGS,11303500,2022-10-14,424,A
USGS,11303500,2022-10-15,687,A
USGS,11303500,2022-10-16,1000,A
USGS,11303500,2022-10-17,1150,A
USGS,11303500,2022-10-18,978,A
USGS,11303500,2022-10-19,720,A
USGS,11303500,2022-10-20,776,A
USGS,11303500,2022-10-21,1440,A
USGS,11303500,2022-10-22,1820,A
USGS,11303500,2022-10-23,1920,A
USGS,11303500,2022-10-24,1810,A
USGS,11303500,2022-10-25,1410,A
USGS,11303500,2022-10-26,1010,A
USGS,11303500,2022-10-27,866,A
USGS,11303500,2022-10-28,1180,A
USGS,11303500,2022-10-29,1780,A
USGS,11303500,2022-10-30,2150,A
USGS,11303500,2022-10-31,1830,A
USGS,11303500,2022-11-01,1530,A
USGS,11303500,2022-11-02,1160,A
USGS,11303500,2022-11-03,927,A
USGS,11303500,2022-11-04,780,A
USGS,11303500,2022-11-05,715,A
USGS,11303500,2022-11-06,670,A
USGS,11303500,2022-11-07,646,A
USGS,11303500,2022-11-08,648,A
USGS,11303500,2022-11-09,687,A
USGS,11303500,2022-11-10,675,A
USGS,11303500,2022-11-11,617,A
USGS,11303500,2022-11-12,592,A
USGS,11303500,2022-11-13,574,A
USGS,11303500,2022-11-14,567,A
USGS,11303500,2022-11-15,566,A
USGS,11303500,2022-11-16,560,A
USGS,11303500,2022-11-17,562,P
USGS,11303500,2022-11-18,566,P
USGS,11303500,2022-11-19,576,P
USGS,11303500,2022-11-20,585,P
USGS,11303500,2022-11-21,599,P
USGS,11303500,2022-11-22,597,P
USGS,11303500,2022-11-23,584,P
USGS,11303500,2022-11-24,578,P
USGS,11303500,2022-11-25,582,P
USGS,11303500,2022-11-26,576,P
USGS,11303500,2022-11-27,591,P
USGS,11303500,2022-11-28,604,P
USGS,11303500,2022-11-29,593,P
USGS,11303500,2022-11-30,587,P
