agency_cd,site_no,Date,X_72137_00003,X_72137_00003_cd
USGS,11313433,1996-02-11,891,A
USGS,11313433,1996-02-12,782,A
USGS,11313433,1996-02-13,748,A
USGS,11313433,1996-02-14,692,A
USGS,11313433,1996-02-15,657,A
USGS,11313433,1996-02-16,589,A
USGS,11313433,1996-02-17,627,A
USGS,11313433,1996-02-18,660,A
USGS,11313433,1996-02-19,574,A
USGS,11313433,1996-02-20,900,A
USGS,11313433,1996-02-21,1240,A
USGS,11313433,1996-02-22,1860,A
USGS,11313433,1996-02-23,1800,A
USGS,11313433,1996-02-24,1640,A
USGS,11313433,1996-02-25,1680,A
USGS,11313433,1996-02-26,1670,A
USGS,11313433,1996-02-27,1550,A
USGS,11313433,1996-02-28,1250,A
USGS,11313433,1996-02-29,1400,A
USGS,11313433,1996-03-01,1320,A
USGS,11313433,1996-03-02,1070,A
USGS,11313433,1996-03-03,904,A
USGS,11313433,1996-03-04,851,A
USGS,11313433,1996-03-05,1530,A
USGS,11313433,1996-03-06,1730,A
USGS,11313433,1996-03-07,1580,A
USGS,11313433,1996-03-08,1460,A
USGS,11313433,1996-03-09,1440,A
USGS,11313433,1996-03-10,1420,A
USGS,11313433,1996-03-11,1330,A
USGS,11313433,1996-03-12,1300,A
USGS,11313433,1996-03-13,1380,A
USGS,11313433,1996-03-14,1450,A
USGS,11313433,1996-03-15,1240,A
USGS,11313433,1996-03-16,1190,A
USGS,11313433,1996-03-17,1140,A
USGS,11313433,1996-03-18,1080,A
USGS,11313433,1996-03-19,1120,A
USGS,11313433,1996-03-20,1120,A
USGS,11313433,1996-03-21,867,A
USGS,11313433,1996-03-22,645,A
USGS,11313433,1996-03-23,968,A
USGS,11313433,1996-03-24,873,A
USGS,11313433,1996-03-25,930,A
USGS,11313433,1996-03-26,812,A
USGS,11313433,1996-03-27,450,A
USGS,11313433,1996-03-28,362,A
USGS,11313433,1996-03-29,625,A
USGS,11313433,1996-03-30,590,A
USGS,11313433,1996-03-31,347,A
USGS,11313433,1996-04-01,315,A
USGS,11313433,1996-04-02,450,A
USGS,11313433,1996-04-03,552,A
USGS,11313433,1996-04-04,600,A
USGS,11313433,1996-04-05,515,A
USGS,11313433,1996-04-06,387,A
USGS,11313433,1996-04-07,171,A
USGS,11313433,1996-04-08,128,A
USGS,11313433,1996-04-09,306,A
USGS,11313433,1996-04-10,122,A
USGS,11313433,1996-04-11,162,A
USGS,11313433,1996-04-12,108,A
USGS,11313433,1996-04-13,128,A
USGS,11313433,1996-04-14,66.2,A
USGS,11313433,1996-04-15,37.9,A
USGS,11313433,1996-04-16,189,A
USGS,11313433,1996-04-17,274,A
USGS,11313433,1996-04-18,434,A
USGS,11313433,1996-04-19,536,A
USGS,11313433,1996-04-20,453,A
USGS,11313433,1996-04-21,460,A
USGS,11313433,1996-04-22,557,A
USGS,11313433,1996-04-23,487,A
USGS,11313433,1996-04-24,397,A
USGS,11313433,1996-04-25,404,A
USGS,11313433,1996-04-26,337,A
USGS,11313433,1996-04-27,300,A
USGS,11313433,1996-04-28,362,A
USGS,11313433,1996-04-29,316,A
USGS,11313433,1996-04-30,241,A
USGS,11313433,1996-05-01,239,A
USGS,11313433,1996-05-02,114,A
USGS,11313433,1996-05-03,178,A
USGS,11313433,1996-05-04,296,A
USGS,11313433,1996-05-05,228,A
USGS,11313433,1996-05-06,203,A
USGS,11313433,1996-05-07,271,A
USGS,11313433,1996-05-08,345,A
USGS,11313433,1996-05-09,428,A
USGS,11313433,1996-05-10,360,A
USGS,11313433,1996-05-11,205,A
USGS,11313433,1996-05-12,39.1,A
USGS,11313433,1996-05-13,50.1,A
USGS,11313433,1996-05-14,133,A
USGS,11313433,1996-05-15,194,A
USGS,11313433,1996-05-16,276,A
USGS,11313433,1996-05-17,504,A
USGS,11313433,1996-05-18,773,A
USGS,11313433,1996-05-19,830,A
USGS,11313433,1996-05-20,850,A
USGS,11313433,1996-05-21,760,A
USGS,11313433,1996-05-22,749,A
USGS,11313433,1996-05-23,726,A
USGS,11313433,1996-05-24,583,A
USGS,11313433,1996-05-25,420,A
USGS,11313433,1996-05-26,433,A
USGS,11313433,1996-05-27,451,A
USGS,11313433,1996-05-28,240,A
USGS,11313433,1996-05-29,153,A
USGS,11313433,1996-05-30,62.3,A
USGS,11313433,1996-05-31,40.9,A
USGS,11313433,1996-06-01,39.6,A
USGS,11313433,1996-06-02,-6.62,A
USGS,11313433,1996-06-03,-128,A
USGS,11313433,1996-06-04,-128,A
USGS,11313433,1996-06-05,-105,A
USGS,11313433,1996-06-06,-150,A
USGS,11313433,1996-06-07,-130,A
USGS,11313433,1996-06-08,-120,A
USGS,11313433,1996-06-09,-216,A
USGS,11313433,1996-06-10,-219,A
USGS,11313433,1996-06-11,-146,A
USGS,11313433,1996-06-12,-18.4,A
USGS,11313433,1996-06-13,86.3,A
USGS,11313433,1996-06-14,-70.4,A
USGS,11313433,1996-06-15,-78.8,A
USGS,11313433,1996-06-16,-81.9,A
USGS,11313433,1996-06-17,-31.5,A
USGS,11313433,1996-06-18,-127,A
USGS,11313433,1996-06-19,-164,A
USGS,11313433,1996-06-20,-71.6,A
USGS,11313433,1996-06-21,-14.1,A
USGS,11313433,1996-06-22,-90.6,A
USGS,11313433,1996-06-23,-236,A
USGS,11313433,1996-06-24,-239,A
USGS,11313433,1996-06-25,-126,A
USGS,11313433,1996-06-26,-189,A
USGS,11313433,1996-06-27,-110,A
USGS,11313433,1996-06-28,-97.1,A
USGS,11313433,1996-06-29,-39.4,A
USGS,11313433,1996-06-30,-48.8,A
USGS,11313433,1996-07-01,-167,A
USGS,11313433,1996-07-02,-285,A
USGS,11313433,1996-07-03,-59.4,A
USGS,11313433,1996-07-04,31.1,A
USGS,11313433,1996-07-05,-67.6,A
USGS,11313433,1996-07-06,-230,A
USGS,11313433,1996-07-07,-467,A
USGS,11313433,1996-07-08,-445,A
USGS,11313433,1996-07-09,-456,A
USGS,11313433,1996-07-10,-472,A
USGS,11313433,1996-07-11,-392,A
USGS,11313433,1996-07-12,-385,A
USGS,11313433,1996-08-04,-310,A
USGS,11313433,1996-08-05,-348,A
USGS,11313433,1996-08-06,-302,A
USGS,11313433,1996-08-07,-374,A
USGS,11313433,1996-08-08,-304,A
USGS,11313433,1996-08-09,-299,A
USGS,11313433,1996-08-10,-311,A
USGS,11313433,1996-08-11,-191,A
USGS,11313433,1996-08-12,-165,A
USGS,11313433,1996-08-13,-205,A
USGS,11313433,1996-08-14,-230,A
USGS,11313433,1996-08-15,-252,A
USGS,11313433,1996-08-16,-372,A
USGS,11313433,1996-08-17,-313,A
USGS,11313433,1996-08-18,-176,A
USGS,11313433,1996-08-19,-157,A
USGS,11313433,1996-08-20,-159,A
USGS,11313433,1996-08-21,-322,A
USGS,11313433,1996-08-22,-424,A
USGS,11313433,1996-08-23,-456,A
USGS,11313433,1996-08-24,-553,A
USGS,11313433,1996-08-25,-411,A
USGS,11313433,1996-08-26,-309,A
USGS,11313433,1996-08-27,-99.8,A
