agency_cd,site_no,Date,X_72137_00003,X_72137_00003_cd
USGS,11447650,2022-10-01,7210,A
USGS,11447650,2022-10-02,7470,A
USGS,11447650,2022-10-03,7550,A
USGS,11447650,2022-10-04,7640,A
USGS,11447650,2022-10-05,7590,A
USGS,11447650,2022-10-06,7440,A
USGS,11447650,2022-10-07,7460,A
USGS,11447650,2022-10-08,7200,A
USGS,11447650,2022-10-09,7010,A
USGS,11447650,2022-10-10,6870,A
USGS,11447650,2022-10-11,6640,A
USGS,11447650,2022-10-12,6500,A
USGS,11447650,2022-10-13,6640,A
USGS,11447650,2022-10-14,6400,A
USGS,11447650,2022-10-15,6130,A
USGS,11447650,2022-10-16,6750,A
USGS,11447650,2022-10-17,7140,A
USGS,11447650,2022-10-18,7070,A
USGS,11447650,2022-10-19,6520,A
USGS,11447650,2022-10-20,5980,A
USGS,11447650,2022-10-21,6190,A
USGS,11447650,2022-10-22,6590,A
USGS,11447650,2022-10-23,6850,A
USGS,11447650,2022-10-24,6690,A
USGS,11447650,2022-10-25,6670,A
USGS,11447650,2022-10-26,6610,A
USGS,11447650,2022-10-27,6570,A
USGS,11447650,2022-10-28,6700,A
USGS,11447650,2022-10-29,6760,A
USGS,11447650,2022-10-30,6730,A
USGS,11447650,2022-10-31,6660,A
USGS,11447650,2022-11-01,6790,A
USGS,11447650,2022-11-02,7290,A
USGS,11447650,2022-11-03,7380,A
USGS,11447650,2022-11-04,7360,A
USGS,11447650,2022-11-05,7070,A
USGS,11447650,2022-11-06,6900,A
USGS,11447650,2022-11-07,7170,A
USGS,11447650,2022-11-08,7870,A
USGS,11447650,2022-11-09,8750,A
USGS,11447650,2022-11-10,8680,A
USGS,11447650,2022-11-11,8310,A
USGS,11447650,2022-11-12,7870,A
USGS,11447650,2022-11-13,7510,A
USGS,11447650,2022-11-14,7200,A
USGS,11447650,2022-11-15,7090,A
USGS,11447650,2022-11-16,7080,A
USGS,11447650,2022-11-17,6820,A
USGS,11447650,2022-11-18,6660,A
USGS,11447650,2022-11-19,6510,A
USGS,11447650,2022-11-20,6260,A
USGS,11447650,2022-11-21,6020,A
USGS,11447650,2022-11-22,5910,A
USGS,11447650,2022-11-23,5860,A
USGS,11447650,2022-11-24,5920,A
USGS,11447650,2022-11-25,5810,A
USGS,11447650,2022-11-26,5730,A
USGS,11447650,2022-11-27,5760,A
USGS,11447650,2022-11-28,5750,A
USGS,11447650,2022-11-29,6090,A
USGS,11447650,2022-11-30,5960,A
