Station,Date,Time,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth
C10A,10/6/2020,12:30,NA,NA,11.16,4.26,80,NA,ND,0.223,29,NA,70,2.21,2.5,2.6,0.25,NA,0.069,0.09,14,329,12.9,ND,0.437,2.6
C3A,10/6/2020,8:45,NA,NA,0.7,0.68,56,NA,0.46,ND,10,NA,5,0.13,1.6,1.6,0.12,NA,0.103,0.09,15.8,95,3.3,ND,0.6,14.4
C9,10/6/2020,10:45,NA,NA,2.67,1.41,77,NA,ND,0.27,15.9,NA,93,0.17,2.5,2.4,0.2,NA,0.079,0.078,11.7,295,3.7,ND,0.3,15.5
D12,10/7/2020,9:10,NA,NA,2.78,1.24,78,NA,ND,5.96,51.5,NA,1840,0.23,1.6,1.6,0.2,NA,0.084,0.09,12.7,3790,10.2,ND,0.3,36.4
D16,10/7/2020,10:55,NA,NA,3.24,1.06,71,NA,ND,0.66,17,NA,212,0.24,1.8,1.8,0.16,NA,0.077,0.08,14.9,540,4.3,ND,0.3,50.9
D19,10/7/2020,11:50,NA,NA,2.13,1.2,72,NA,ND,0.626,17,NA,189,0.2,2,1.9,0.16,NA,0.075,0.07,12,513,ND,ND,0.2,32.2
D28A,10/7/2020,12:30,NA,NA,2.96,0.92,75,NA,ND,0.38,16,NA,125,0.09,2.3,2.2,0.19,NA,0.071,0.07,10.7,359,ND,ND,0.2,8.2
EZ2-SJR,10/7/2020,10:15,38.057063,-121.682638,3.11,1.03,74,NA,ND,1.149,21,NA,343,0.219,1.9,1.9,0.19,NA,0.079,0.08,13.9,881,3.9,ND,0.3,42
EZ6-SJR,10/7/2020,9:35,38.023836,-121.790288,2.98,1.24,78.5,NA,ND,4.41,49,NA,1307.5,0.23,1.7,1.7,0.2,NA,0.08,0.08,12.9,4410,7.9,ND,0.3,39.4
D26,10/8/2020,9:15,NA,NA,1.15,4.22,65,NA,ND,0.2,13.5,NA,63.43,0.27,2,2.1,0.1,NA,0.074,0.07,15.2,219,5.6,ND,0.2,34.8
MD10A,10/8/2020,10:30,NA,NA,1.7,1.69,73,NA,ND,ND,14,NA,14.73,0.08,2.9,3,0.2,NA,0.05,0.06,10.4,118,ND,ND,0.3,17.1
P8,10/8/2020,11:50,NA,NA,2.81,1.63,81,NA,0.05,0.29,23,NA,69,3.25,3.4,3.3,0.3,NA,0.456,0.42,12.3,327,2.9,ND,0.5,34.8
D22,10/9/2020,11:55,NA,NA,3.62,1.24,71.5,NA,ND,2.51,30,NA,742,0.29,1.7,1.7,0.1,NA,0.081,0.09,15.4,1710,14,ND,0.2,31.2
D4,10/9/2020,10:25,NA,NA,1.83,0.62,79,NA,ND,8.24,68,NA,2539,0.26,1.5,1.5,0.22,NA,0.084,0.08,13.1,5070,8.2,ND,0.2,36.7
EZ2,10/9/2020,13:05,38.104166,-121.720519,2.61,0.95,68,NA,ND,1.07,20,NA,315,0.3,1.7,1.7,0.16,NA,0.086,0.09,16.3,767,7.8,ND,0.2,30.8
EZ6,10/9/2020,11:20,38.074626,-121.770251,1.85,1.38,75,NA,ND,5.04,42,NA,1547.7,0.27,1.6,1.5,0.2,NA,0.081,0.09,14.2,2670,14.4,ND,0.2,31.2
NZ068,10/9/2020,13:45,NA,NA,2.78,1.09,62,NA,0.062,0.18,12.9,NA,60.18,0.28,1.7,1.8,0.13,NA,0.087,0.08,15.6,198,4.2,ND,0.3,17.4
D10,10/12/2020,14:05,NA,NA,ND,1.74,82,NA,ND,11.82,90.5,NA,3660,0.28,1.7,1.7,0.9,NA,0.092,0.1,11.9,7800,8,ND,0.2,37.4
D6,10/12/2020,12:20,NA,NA,1.34,1.27,95,NA,0.07,32.3,214,NA,9901,0.3,1.3,1.4,ND,NA,0.103,0.105,8.9,18500,11.2,3,0.2,45.9
D8,10/12/2020,13:25,NA,NA,2.86,0.64,79.5,NA,0.06,16.07,122,NA,5126,0.31,1.6,1.5,ND,NA,0.098,0.109,11.3,10000,9.1,3,0.2,42.7
D7,10/13/2020,12:15,NA,NA,1.24,0.64,89,NA,0.05,24.18,156,NA,6979,0.313,1.8,1.5,0.11,NA,0.103,0.105,10.4,13100,14.6,ND,0.2,5.9
NZ032,10/13/2020,14:05,NA,NA,6.82,1.23,89,NA,0.08,14.26,108,NA,4438,0.28,2.6,2.6,0.3,NA,0.063,0.108,10.7,8370,15.7,4,0.4,28.9
NZS42,10/13/2020,13:10,NA,NA,3.12,0.75,90.5,NA,0.106,14.69,109,NA,4484,0.29,2.5,2.8,0.2,NA,0.066,0.09,10.8,8520,19.4,3,0.38,15.1
D41,10/14/2020,10:35,NA,NA,2.76,1.37,109,NA,ND,51.35,339,NA,15967,0.24,0.5,0.5,0.2,NA,0.094,0.1,5.2,30400,17.1,5,0.2,43.3
D41A,10/14/2020,9:50,NA,NA,1.77,7.72,104,NA,ND,43.4,287,NA,13715,0.24,0.8,0.7,0.12,NA,0.101,0.115,6.7,26100,27.7,8,0.2,8.2
NZ002,10/14/2020,11:30,NA,NA,1.46,1.16,103,NA,0.05,42.85,285,NA,13445,0.27,0.6,0.6,0.11,NA,0.103,0.11,6.9,25400,31.3,9,0.223,59.1
NZ004,10/14/2020,11:45,NA,NA,1.17,0.82,98,NA,0.06,36.52,243,NA,11289,0.29,0.7,0.8,0.12,NA,0.106,0.12,8,21200,20,5,0.251,86.6
NZ325,10/14/2020,11:10,NA,NA,1.84,ND,103,NA,ND,41.28,280,NA,13193,0.26,0.7,0.7,0.2,NA,0.101,0.105,6.9,25400,14.2,4.5,0.2,46.3
C10A,11/4/2020,12:15,NA,NA,2.74,2.52,83,NA,ND,0.18,22.5,NA,55,1.55,2.4,2.4,0.2,NA,0.073,0.09,13.9,245,9.1,ND,0.309,3.6
C3A,11/4/2020,9:15,NA,NA,0.53,ND,58,NA,0.28,ND,11.1,NA,6,0.111,2,1.9,ND,NA,0.085,0.09,16.6,84,ND,ND,0.4,14.6
C9,11/4/2020,11:00,NA,NA,1.35,0.97,73,NA,ND,0.35,17,NA,103,0.32,3.2,3.1,0.2,NA,0.069,0.07,8.8,278,3.2,ND,0.309,15.7
D12,11/5/2020,8:40,NA,NA,1.72,1.31,71,NA,0.06,6.04,96,NA,1637,0.27,1.4,1.5,0.1,NA,0.079,0.08,24,3310,9.8,ND,0.3,39.7
D16,11/5/2020,10:40,NA,NA,1.64,1.07,64,NA,ND,0.86,17,NA,245,0.27,1.9,1.8,0.2,NA,0.073,0.07,13.2,903,3.5,ND,0.2,38.1
D19,11/5/2020,11:35,NA,NA,1.69,0.75,64,NA,ND,ND,17,NA,219,0.26,2,1.9,0.2,NA,0.073,0.07,11.6,532,ND,ND,0.217,17.1
D28A,11/5/2020,12:10,NA,NA,1.65,1.06,69,NA,ND,0.47,16,NA,142,0.16,2.3,2.4,0.2,NA,0.054,0.05,8.4,380,ND,ND,0.2,26.1
EZ2-SJR,11/5/2020,10:10,38.057883,-121.681983,2.31,0.89,66,NA,ND,1.643,22,NA,470.69,0.26,1.8,1.7,0.2,NA,0.078,0.08,12.2,1040,4.6,ND,0.218,48.9
EZ6-SJR,11/5/2020,9:20,38.027666,-121.771483,1.43,0.95,70,NA,0.05,4.54,40,NA,1296,0.253,1.6,1.5,0.12,NA,0.075,0.07,12.3,2880,6.9,ND,0.224,44.4
D26,11/6/2020,9:00,NA,NA,1.58,1.6,62,NA,ND,0.27,13.6,NA,83,0.33,2.2,2.2,0.2,NA,0.07,0.07,13.2,252,6.9,ND,0.2,41.4
MD10A,11/6/2020,10:15,NA,NA,1.16,1.64,73.5,NA,ND,0.1323,16,NA,38,0.35,3.1,3.2,0.22,NA,0.067,0.07,7,173,ND,ND,0.3,19.3
P8,11/6/2020,11:25,NA,NA,1.99,0.92,66,NA,ND,0.1769,18,NA,51,1.95,2.8,2.8,0.3,NA,0.208,0.2,12.4,216,ND,ND,0.373,42
D22,11/9/2020,12:30,NA,NA,0.95,3.88,69,NA,0.07,5.04,41,NA,1374,0.28,1.5,1.5,0.16,NA,0.081,0.12,12.6,2890,33.1,5,0.311,35.1
D4,11/9/2020,11:15,NA,NA,1.48,1.15,73.5,NA,0.08,9.35,68,NA,2686,0.3,1.3,1.3,ND,NA,0.076,0.1,11.4,5660,25.5,4.5,0.25,34.4
EZ2,11/9/2020,13:15,38.126833,-121.697266,2.38,1.22,63,NA,0.08,1.03,17,NA,283,0.28,1.8,2,0.2,NA,0.083,0.08,14.2,647,13.2,ND,0.3,35
EZ6,11/9/2020,11:55,38.077516,-121.764583,ND,3.28,70,NA,0.07,5.89,46,NA,1586,0.28,1.8,1.8,ND,NA,0.08,0.09,12.5,3380,20,ND,0.248,34.4
NZ068,11/9/2020,13:50,NA,NA,1.89,1.25,61.5,NA,0.1,0.46,13.9,NA,126.19,0.27,1.7,1.7,ND,NA,0.086,0.07,14.7,333,6.8,ND,0.2,42.9
D10,11/10/2020,12:20,NA,NA,1.22,1.52,81,NA,0.1,15.84,106,NA,4561,0.32,1.2,1.2,0.2,NA,0.088,0.11,10.4,9080,41.1,9,0.312,46.1
